material_id,name,formula
mp-1178407,Cr2PO5 (mp-1178407),Cr2PO5
mp-1178412,CrCo(PO4)2 (mp-1178412),CrCo(PO4)2
mp-1178425,CoF3 (mp-1178425),CoF3
mp-1178433,CoH8(SO6)2 (mp-1178433),CoH8(SO6)2
mp-1178438,Cr(PO3)4 (mp-1178438),Cr(PO3)4
mp-1178442,Co5(P2O7)4 (mp-1178442),Co5(P2O7)4
mp-1178444,Cr(WO4)3 (mp-1178444),Cr(WO4)3
mp-1178446,CoPO4 (mp-1178446),CoPO4
mp-1178458,Co2(SO4)3 (mp-1178458),Co2(SO4)3
mp-1178459,Cr12Fe7O48 (mp-1178459),Cr12Fe7O48
mp-1178482,Cd(CoO2)2 (mp-1178482),Cd(CoO2)2
mp-1178146,K2TlPCO7 (mp-1178146),K2TlPCO7
mp-1178147,K3TlPCO7 (mp-1178147),K3TlPCO7
mp-1178149,K3MnPCO7 (mp-1178149),K3MnPCO7
mp-1178153,K4Li5Cr2O8 (mp-1178153),K4Li5Cr2O8
mp-1178157,K(WO3)3 (mp-1178157),K(WO3)3
mp-1178159,KCrPCO7 (mp-1178159),KCrPCO7
mp-1178182,Li15Ni8(PO4)12 (mp-1178182),Li15Ni8(PO4)12
mp-1178192,Li15V6(P8O29)2 (mp-1178192),Li15V6(P8O29)2
mp-1178195,KFe11O17 (mp-1178195),KFe11O17
mp-1178199,K3(Fe11O17)2 (mp-1178199),K3(Fe11O17)2
mp-1178204,La3MnO7 (mp-1178204),La3MnO7
mp-1178211,FeSn(PO4)2 (mp-1178211),FeSn(PO4)2
mp-1178250,Fe5OF11 (mp-1178250),Fe5OF11
mp-1178251,Fe5OF11 (mp-1178251),Fe5OF11
mp-1178254,Fe7O7F (mp-1178254),Fe7O7F
mp-1178257,Fe7(PO4)8 (mp-1178257),Fe7(PO4)8
mp-1178258,FeCSO7 (mp-1178258),FeCSO7
mp-1178259,FeCo3O8 (mp-1178259),FeCo3O8
mp-1178297,Fe3Sb(PO4)4 (mp-1178297),Fe3Sb(PO4)4
mp-1178313,Fe3TeO8 (mp-1178313),Fe3TeO8
